,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M
VISEU,4615.0,5329.0,5926.0,8015.0,7288.0,6660.0,5856.0,7602.0,4836.0,5379.0,5653.0,7366.0,6395.0,5983.0,5139.0,5207.0
VOUZELA,343.0,492.0,509.0,594.0,650.0,640.0,700.0,1110.0,352.0,522.0,508.0,584.0,631.0,583.0,589.0,812.0
CASTELO-BRANCO,2100.0,2358.0,2794.0,3681.0,3804.0,3716.0,3302.0,5529.0,2149.0,2390.0,2743.0,3481.0,3532.0,3525.0,3068.0,3815.0
IDANHA-A-NOVA,200.0,252.0,278.0,379.0,354.0,485.0,642.0,1628.0,243.0,261.0,316.0,373.0,426.0,469.0,532.0,1204.0
OLEIROS,100.0,154.0,185.0,183.0,281.0,345.0,454.0,922.0,103.0,165.0,221.0,226.0,298.0,368.0,368.0,629.0
PENAMACOR,81.0,152.0,167.0,173.0,242.0,276.0,370.0,984.0,118.0,171.0,201.0,202.0,286.0,304.0,313.0,716.0
PROENCA-A-NOVA,207.0,312.0,308.0,341.0,432.0,498.0,528.0,1174.0,196.0,312.0,386.0,348.0,474.0,542.0,466.0,773.0
VILA-VELHA-DE-RODAO,65.0,89.0,107.0,129.0,138.0,201.0,277.0,670.0,81.0,76.0,116.0,135.0,157.0,190.0,263.0,450.0
ABRANTES,1301.0,1528.0,1697.0,2204.0,2388.0,2525.0,2343.0,4216.0,1486.0,1609.0,1792.0,2256.0,2454.0,2441.0,2009.0,2882.0
ALCANENA,538.0,604.0,672.0,820.0,888.0,901.0,868.0,1343.0,566.0,604.0,711.0,869.0,876.0,864.0,755.0,931.0
CONSTANCIA,196.0,209.0,187.0,316.0,310.0,255.0,243.0,381.0,218.0,195.0,192.0,274.0,305.0,270.0,223.0,257.0
ENTRONCAMENTO,1142.0,1074.0,1296.0,1764.0,1847.0,1368.0,1151.0,1643.0,1182.0,1161.0,1217.0,1642.0,1642.0,1262.0,963.0,1203.0
FERREIRA-DO-ZEZERE,306.0,364.0,384.0,473.0,514.0,525.0,521.0,1089.0,320.0,406.0,417.0,440.0,521.0,516.0,453.0,709.0
MACAO,159.0,234.0,216.0,268.0,362.0,373.0,446.0,1231.0,183.0,249.0,256.0,289.0,392.0,411.0,387.0,811.0
OUREM,1914.0,2545.0,2542.0,2978.0,3346.0,2868.0,2653.0,4431.0,1986.0,2539.0,2510.0,2834.0,3127.0,2731.0,2107.0,2932.0
SARDOAL,125.0,163.0,161.0,241.0,264.0,256.0,228.0,482.0,144.0,198.0,199.0,236.0,246.0,277.0,196.0,324.0
SERTA,565.0,690.0,763.0,846.0,1030.0,920.0,946.0,1889.0,569.0,768.0,683.0,803.0,1009.0,1004.0,835.0,1255.0
TOMAR,1382.0,1844.0,1838.0,2212.0,2713.0,2583.0,2491.0,4275.0,1525.0,1931.0,1961.0,2147.0,2533.0,2407.0,2088.0,2818.0
TORRES-NOVAS,1459.0,1674.0,1819.0,2367.0,2497.0,2423.0,2271.0,3763.0,1637.0,1683.0,1851.0,2282.0,2367.0,2328.0,2034.0,2477.0
VILA-DE-REI,104.0,135.0,133.0,148.0,171.0,196.0,212.0,701.0,103.0,126.0,157.0,129.0,199.0,205.0,177.0,426.0
VILA-NOVA-DA-BARQUINHA,329.0,343.0,361.0,474.0,534.0,495.0,515.0,788.0,318.0,377.0,374.0,484.0,546.0,488.0,434.0,601.0
ALMEIDA,145.0,206.0,268.0,232.0,351.0,405.0,489.0,1001.0,122.0,222.0,266.0,257.0,351.0,415.0,418.0,683.0
BELMONTE,229.0,285.0,326.0,392.0,451.0,491.0,379.0,774.0,234.0,323.0,338.0,400.0,394.0,490.0,349.0,546.0
CELORICO-DA-BEIRA,284.0,325.0,340.0,403.0,434.0,472.0,485.0,935.0,251.0,312.0,363.0,387.0,414.0,466.0,407.0,651.0
COVILHA,1790.0,2013.0,2442.0,3217.0,3255.0,3501.0,3283.0,4951.0,1858.0,2218.0,2503.0,3043.0,3165.0,3417.0,2884.0,3245.0
FIGUEIRA-DE-CASTELO-RODRIGO,185.0,216.0,281.0,263.0,315.0,379.0,413.0,860.0,191.0,246.0,293.0,304.0,329.0,371.0,353.0,584.0
FORNOS-DE-ALGODRES,165.0,221.0,212.0,241.0,294.0,304.0,319.0,636.0,140.0,190.0,249.0,227.0,283.0,296.0,263.0,488.0
FUNDAO,943.0,1163.0,1358.0,1534.0,1802.0,1863.0,1816.0,3314.0,1009.0,1276.0,1439.0,1510.0,1720.0,1848.0,1608.0,2293.0
GOUVEIA,379.0,539.0,589.0,629.0,772.0,889.0,1005.0,1853.0,399.0,555.0,553.0,612.0,732.0,815.0,847.0,1221.0
GUARDA,1601.0,1939.0,2216.0,2875.0,3093.0,2733.0,2265.0,3634.0,1760.0,2060.0,2078.0,2758.0,2872.0,2652.0,1938.0,2494.0
MANTEIGAS,82.0,153.0,135.0,154.0,188.0,263.0,216.0,394.0,89.0,124.0,161.0,153.0,188.0,238.0,210.0,259.0
MEDA,136.0,169.0,202.0,233.0,280.0,324.0,377.0,697.0,136.0,202.0,218.0,230.0,269.0,305.0,310.0,499.0
PINHEL,240.0,373.0,407.0,438.0,513.0,579.0,660.0,1249.0,294.0,347.0,410.0,452.0,542.0,582.0,523.0,904.0
SABUGAL,262.0,355.0,410.0,409.0,571.0,666.0,852.0,2094.0,255.0,362.0,455.0,460.0,592.0,716.0,726.0,1401.0
SEIA,752.0,993.0,1122.0,1309.0,1510.0,1742.0,1646.0,2578.0,793.0,1031.0,1211.0,1264.0,1423.0,1641.0,1460.0,1760.0
TRANCOSO,276.0,419.0,446.0,489.0,575.0,597.0,663.0,1200.0,333.0,421.0,446.0,484.0,549.0,559.0,557.0,861.0
ALCOCHETE,1299.0,1028.0,1008.0,1992.0,1598.0,1091.0,1029.0,1175.0,1274.0,1143.0,1025.0,1800.0,1556.0,1073.0,910.0,785.0
ALMADA,7900.0,8237.0,9474.0,13065.0,12256.0,12131.0,11164.0,14682.0,8360.0,8705.0,9321.0,12398.0,10889.0,10617.0,9684.0,10157.0
AMADORA,8793.0,9289.0,12081.0,14543.0,12843.0,13260.0,12681.0,14058.0,9225.0,9600.0,11320.0,13735.0,11569.0,11074.0,10514.0,9523.0
BARREIRO,3527.0,3455.0,3849.0,5905.0,5058.0,5386.0,5977.0,6359.0,3582.0,3695.0,3863.0,5732.0,4621.0,4444.0,5097.0,4599.0
CASCAIS,10803.0,10968.0,12027.0,17892.0,16828.0,15244.0,13540.0,16096.0,11485.0,11680.0,11892.0,16143.0,14660.0,12565.0,11299.0,10486.0
LISBOA,21421.0,21872.0,31084.0,38451.0,34355.0,34699.0,35070.0,59192.0,22337.0,22696.0,30750.0,37263.0,31313.0,28992.0,26682.0,33337.0
LOURES,10603.0,11257.0,13385.0,17360.0,15366.0,15096.0,13974.0,14243.0,11452.0,11509.0,13042.0,16344.0,14361.0,12993.0,12424.0,10278.0
MAFRA,5486.0,4526.0,4817.0,8229.0,6572.0,4714.0,4108.0,5091.0,5452.0,4725.0,4508.0,7793.0,6637.0,4666.0,3795.0,3697.0
MOITA,3260.0,3548.0,3794.0,5195.0,4522.0,4700.0,3984.0,4475.0,3470.0,3581.0,3865.0,4933.0,4161.0,4288.0,3607.0,3025.0
MONTIJO,3199.0,2833.0,3576.0,5554.0,3976.0,3423.0,3148.0,4096.0,3374.0,2847.0,3477.0,5536.0,3917.0,3152.0,2717.0,2788.0
ODIVELAS,8158.0,7784.0,10953.0,14257.0,11498.0,11325.0,10461.0,10321.0,8355.0,8352.0,10085.0,13864.0,10517.0,9609.0,9088.0,7148.0
OEIRAS,9074.0,8255.0,9592.0,15185.0,13031.0,12829.0,12615.0,14227.0,9550.0,8845.0,9543.0,13630.0,11238.0,9997.0,10372.0,9424.0
PALMELA,3581.0,3335.0,3497.0,5525.0,4871.0,4047.0,3728.0,4502.0,3761.0,3473.0,3383.0,5325.0,4582.0,3817.0,3493.0,3350.0
SEIXAL,8776.0,8936.0,10403.0,14542.0,12395.0,12417.0,10101.0,9717.0,9224.0,9263.0,10014.0,13408.0,11158.0,10501.0,9495.0,7402.0
SESIMBRA,2973.0,2663.0,3047.0,4772.0,3876.0,3186.0,2747.0,3119.0,3088.0,2915.0,2989.0,4520.0,3759.0,3121.0,2598.0,2486.0
SETUBAL,5982.0,6005.0,6446.0,9437.0,8110.0,8181.0,7328.0,8549.0,6228.0,6156.0,6432.0,8978.0,7705.0,7032.0,6679.0,5877.0
SINTRA,21828.0,23338.0,24021.0,34767.0,32986.0,25333.0,20357.0,21579.0,22805.0,24197.0,22969.0,31886.0,30182.0,22664.0,17888.0,14602.0
VILA-FRANCA-DE-XIRA,8210.0,7490.0,8990.0,13448.0,10851.0,9884.0,7234.0,7604.0,8378.0,7525.0,8529.0,12856.0,9850.0,8857.0,6836.0,5414.0
ALCACER-DO-SAL,494.0,482.0,602.0,730.0,687.0,851.0,832.0,1322.0,514.0,529.0,662.0,761.0,688.0,864.0,728.0,912.0
GRANDOLA,575.0,584.0,717.0,945.0,911.0,942.0,978.0,1577.0,625.0,616.0,846.0,1168.0,997.0,1009.0,871.0,1279.0
ODEMIRA,940.0,1054.0,1213.0,1548.0,1664.0,1615.0,1493.0,2703.0,976.0,1057.0,1424.0,1713.0,1827.0,1776.0,1364.0,2353.0
SANTIAGO-DO-CACEM,1112.0,1187.0,1501.0,1904.0,1874.0,2324.0,1878.0,2895.0,1217.0,1224.0,1629.0,2023.0,1732.0,2252.0,1797.0,2241.0
SINES,678.0,687.0,740.0,1063.0,1053.0,954.0,764.0,1006.0,654.0,720.0,872.0,1068.0,944.0,1007.0,756.0,750.0
ALJUSTREL,288.0,364.0,386.0,457.0,545.0,624.0,550.0,954.0,306.0,373.0,462.0,541.0,559.0,668.0,546.0,625.0
ALMODOVAR,267.0,245.0,329.0,355.0,418.0,454.0,462.0,876.0,253.0,283.0,337.0,399.0,426.0,455.0,447.0,720.0
ALVITO,98.0,109.0,142.0,147.0,142.0,166.0,146.0,339.0,99.0,128.0,131.0,157.0,149.0,171.0,143.0,208.0
BARRANCOS,76.0,70.0,98.0,90.0,134.0,87.0,99.0,187.0,69.0,70.0,87.0,109.0,145.0,118.0,62.0,132.0
BEJA,1664.0,1535.0,1836.0,2454.0,2406.0,2156.0,1911.0,3334.0,1728.0,1708.0,1962.0,2534.0,2392.0,2165.0,1673.0,2121.0
CASTRO-VERDE,300.0,347.0,342.0,430.0,512.0,436.0,406.0,771.0,275.0,354.0,400.0,448.0,516.0,495.0,359.0,560.0
CUBA,186.0,232.0,260.0,271.0,322.0,266.0,286.0,527.0,216.0,194.0,279.0,304.0,327.0,293.0,253.0,380.0
FERREIRA-DO-ALENTEJO,303.0,343.0,369.0,488.0,486.0,543.0,531.0,961.0,324.0,327.0,440.0,527.0,524.0,545.0,455.0,679.0
MERTOLA,171.0,209.0,259.0,284.0,396.0,371.0,431.0,987.0,169.0,256.0,317.0,344.0,415.0,426.0,377.0,730.0
MOURA,672.0,699.0,725.0,854.0,847.0,883.0,832.0,1470.0,727.0,800.0,787.0,865.0,965.0,921.0,705.0,966.0
OURIQUE,142.0,172.0,196.0,269.0,285.0,286.0,340.0,647.0,147.0,185.0,212.0,258.0,336.0,300.0,309.0,524.0
SERPA,535.0,713.0,714.0,810.0,1005.0,972.0,873.0,1693.0,581.0,721.0,767.0,840.0,1081.0,1006.0,801.0,1188.0
VIDIGUEIRA,251.0,273.0,321.0,329.0,371.0,323.0,309.0,623.0,241.0,295.0,346.0,323.0,375.0,386.0,277.0,466.0
ALMEIRIM,1109.0,1091.0,1144.0,1781.0,1554.0,1506.0,1484.0,2171.0,1160.0,1099.0,1157.0,1751.0,1495.0,1267.0,1313.0,1464.0
ALPIARCA,318.0,318.0,303.0,478.0,490.0,487.0,499.0,776.0,379.0,338.0,350.0,484.0,441.0,458.0,429.0,511.0
AZAMBUJA,1051.0,1102.0,1144.0,1691.0,1502.0,1459.0,1393.0,1887.0,1126.0,1058.0,1306.0,2098.0,1768.0,1465.0,1264.0,1402.0
BENAVENTE,1752.0,1680.0,1738.0,2698.0,2327.0,1828.0,1668.0,1973.0,1834.0,1822.0,1820.0,2454.0,2326.0,1767.0,1467.0,1448.0
CARTAXO,1065.0,1191.0,1256.0,1838.0,1760.0,1604.0,1519.0,2064.0,1199.0,1193.0,1340.0,1767.0,1696.0,1495.0,1406.0,1447.0
CHAMUSCA,362.0,351.0,482.0,574.0,600.0,632.0,667.0,1097.0,348.0,404.0,505.0,563.0,655.0,623.0,586.0,748.0
CORUCHE,621.0,767.0,758.0,1032.0,1185.0,1278.0,1266.0,2222.0,704.0,730.0,767.0,1039.0,1080.0,1240.0,1056.0,1727.0
GOLEGA,232.0,241.0,277.0,354.0,376.0,376.0,354.0,628.0,213.0,281.0,276.0,332.0,337.0,371.0,294.0,396.0
RIO-MAIOR,977.0,1028.0,1100.0,1513.0,1495.0,1359.0,1253.0,1792.0,1002.0,1110.0,1195.0,1479.0,1425.0,1249.0,1116.0,1285.0
SALVATERRA-DE-MAGOS,980.0,1069.0,1045.0,1494.0,1574.0,1440.0,1447.0,2016.0,1016.0,1121.0,1064.0,1518.0,1498.0,1382.0,1259.0,1372.0
SANTAREM,2571.0,2745.0,3012.0,4166.0,4128.0,3880.0,3824.0,5909.0,2758.0,2860.0,3106.0,4003.0,3802.0,3614.0,3200.0,3843.0
ALTER-DO-CHAO,120.0,124.0,144.0,163.0,197.0,207.0,195.0,522.0,94.0,141.0,152.0,174.0,188.0,209.0,172.0,362.0
ARRONCHES,80.0,119.0,127.0,155.0,192.0,143.0,192.0,444.0,94.0,128.0,151.0,154.0,201.0,178.0,138.0,323.0
AVIS,164.0,209.0,203.0,245.0,243.0,287.0,297.0,573.0,138.0,181.0,212.0,259.0,246.0,279.0,244.0,465.0
CAMPO-MAIOR,392.0,399.0,470.0,568.0,522.0,509.0,471.0,725.0,417.0,431.0,474.0,601.0,515.0,443.0,394.0,541.0
CASTELO-DE-VIDE,78.0,126.0,121.0,172.0,194.0,194.0,191.0,448.0,93.0,130.0,135.0,159.0,182.0,187.0,178.0,330.0
CRATO,87.0,116.0,132.0,170.0,180.0,206.0,257.0,525.0,92.0,106.0,119.0,161.0,203.0,197.0,236.0,340.0
ELVAS,1016.0,1106.0,1212.0,1361.0,1534.0,1286.0,1117.0,2030.0,1036.0,1131.0,1198.0,1352.0,1410.0,1280.0,947.0,1511.0
FRONTEIRA,106.0,145.0,126.0,185.0,194.0,211.0,182.0,406.0,136.0,128.0,157.0,172.0,203.0,206.0,156.0,261.0
GAVIAO,78.0,111.0,109.0,163.0,175.0,195.0,243.0,648.0,100.0,118.0,118.0,175.0,205.0,192.0,185.0,449.0
MARVAO,79.0,114.0,129.0,164.0,187.0,198.0,222.0,441.0,96.0,125.0,135.0,149.0,210.0,215.0,196.0,347.0
MONFORTE,145.0,170.0,156.0,200.0,179.0,179.0,162.0,397.0,148.0,127.0,139.0,175.0,187.0,165.0,130.0,316.0
NISA,184.0,218.0,202.0,285.0,350.0,373.0,458.0,1114.0,170.0,202.0,246.0,329.0,371.0,404.0,394.0,762.0
PONTE-DE-SOR,569.0,716.0,762.0,933.0,1081.0,1036.0,900.0,1746.0,610.0,758.0,797.0,932.0,1053.0,1080.0,779.0,1242.0
PORTALEGRE,934.0,991.0,1182.0,1542.0,1596.0,1612.0,1426.0,2243.0,925.0,1056.0,1245.0,1541.0,1455.0,1490.0,1252.0,1683.0
SOUSEL,158.0,206.0,208.0,279.0,269.0,251.0,324.0,650.0,190.0,205.0,191.0,289.0,273.0,246.0,225.0,446.0
ALANDROAL,183.0,200.0,247.0,291.0,320.0,319.0,302.0,709.0,175.0,221.0,273.0,331.0,347.0,309.0,252.0,512.0
ARRAIOLOS,261.0,323.0,334.0,480.0,481.0,427.0,421.0,837.0,285.0,332.0,370.0,461.0,517.0,426.0,359.0,614.0
BORBA,254.0,274.0,328.0,450.0,489.0,401.0,406.0,814.0,235.0,329.0,344.0,432.0,559.0,434.0,351.0,637.0
ESTREMOZ,444.0,583.0,650.0,792.0,962.0,788.0,791.0,1662.0,483.0,587.0,688.0,746.0,904.0,796.0,635.0,1219.0
EVORA,2337.0,2592.0,3091.0,4081.0,4005.0,3773.0,3051.0,4643.0,2526.0,2714.0,3028.0,3850.0,3521.0,3425.0,2596.0,3195.0
MONTEMOR-O-NOVO,602.0,625.0,782.0,1030.0,957.0,1013.0,1080.0,1965.0,629.0,687.0,845.0,1007.0,1012.0,973.0,886.0,1553.0
MORA,128.0,148.0,176.0,208.0,235.0,312.0,285.0,638.0,131.0,169.0,205.0,213.0,244.0,308.0,259.0,479.0
MOURAO,122.0,130.0,124.0,139.0,154.0,145.0,135.0,291.0,112.0,165.0,144.0,135.0,167.0,158.0,118.0,211.0
PORTEL,219.0,255.0,308.0,354.0,369.0,349.0,373.0,744.0,234.0,282.0,317.0,394.0,403.0,387.0,299.0,541.0
REDONDO,248.0,290.0,357.0,418.0,422.0,398.0,377.0,741.0,264.0,338.0,339.0,445.0,449.0,404.0,305.0,560.0
REGUENGOS-DE-MONSARAZ,412.0,491.0,521.0,703.0,650.0,639.0,590.0,1131.0,499.0,529.0,524.0,695.0,707.0,671.0,486.0,770.0
VENDAS-NOVAS,508.0,526.0,524.0,857.0,722.0,684.0,860.0,1153.0,539.0,537.0,570.0,793.0,696.0,666.0,729.0,890.0
VIANA-DO-ALENTEJO,245.0,235.0,277.0,347.0,374.0,281.0,303.0,593.0,237.0,251.0,323.0,332.0,348.0,331.0,216.0,454.0
VILA-VICOSA,290.0,373.0,398.0,500.0,596.0,544.0,441.0,780.0,312.0,369.0,445.0,485.0,600.0,543.0,383.0,596.0
ALBUFEIRA,2101.0,2219.0,2653.0,3642.0,3617.0,2804.0,1874.0,2246.0,2273.0,2392.0,2496.0,3565.0,3375.0,2701.0,1886.0,1683.0
ALCOUTIM,58.0,54.0,63.0,81.0,93.0,131.0,178.0,424.0,43.0,81.0,69.0,105.0,126.0,127.0,173.0,352.0
ALJEZUR,208.0,229.0,252.0,314.0,376.0,387.0,397.0,668.0,212.0,200.0,249.0,349.0,364.0,424.0,395.0,569.0
CASTRO-MARIM,254.0,267.0,309.0,361.0,425.0,420.0,437.0,663.0,226.0,325.0,312.0,385.0,434.0,424.0,434.0,560.0
FARO,2869.0,2843.0,3771.0,5166.0,4570.0,4391.0,3504.0,4670.0,3035.0,3029.0,3591.0,4964.0,4166.0,3916.0,3215.0,3316.0
LAGOA,1125.0,1219.0,1230.0,1766.0,1774.0,1506.0,1318.0,1629.0,1177.0,1228.0,1269.0,1674.0,1718.0,1558.0,1325.0,1245.0
LAGOS,1469.0,1686.0,1573.0,2321.0,2356.0,2081.0,1746.0,2380.0,1591.0,1592.0,1630.0,2188.0,2261.0,2006.0,1642.0,1853.0
LOULE,3241.0,3312.0,4143.0,5353.0,5288.0,4576.0,3861.0,5413.0,3278.0,3648.0,3902.0,5282.0,4975.0,4488.0,3709.0,4229.0
MONCHIQUE,158.0,187.0,228.0,249.0,342.0,328.0,361.0,665.0,160.0,192.0,223.0,264.0,370.0,402.0,350.0,598.0
OLHAO,2393.0,2333.0,2568.0,3764.0,3164.0,2748.0,2522.0,3224.0,2581.0,2399.0,2566.0,3667.0,3065.0,2611.0,2438.0,2363.0
PORTIMAO,2847.0,2728.0,3276.0,4693.0,3996.0,3729.0,3168.0,4257.0,2967.0,2940.0,3203.0,4348.0,3850.0,3407.0,2949.0,3126.0
SAO-BRAS-DE-ALPORTEL,445.0,481.0,528.0,830.0,764.0,663.0,589.0,1005.0,535.0,529.0,549.0,763.0,754.0,674.0,550.0,757.0
SILVES,1604.0,1624.0,1827.0,2668.0,2515.0,2388.0,2157.0,3368.0,1715.0,1762.0,2007.0,2714.0,2577.0,2473.0,2108.0,2720.0
TAVIRA,1052.0,1088.0,1276.0,1667.0,1763.0,1638.0,1629.0,2405.0,1127.0,1077.0,1318.0,1724.0,1641.0,1651.0,1514.0,1961.0
VILA-DO-BISPO,189.0,222.0,237.0,342.0,351.0,385.0,370.0,486.0,214.0,226.0,239.0,349.0,397.0,369.0,360.0,419.0
VILA-REAL-DE-SANTO-ANTONIO,1003.0,990.0,1068.0,1434.0,1289.0,1251.0,1149.0,1607.0,979.0,937.0,1055.0,1362.0,1258.0,1221.0,1091.0,1056.0
VILA-DO-PORTO,326.0,362.0,422.0,393.0,429.0,369.0,260.0,342.0,290.0,396.0,366.0,450.0,401.0,413.0,212.0,185.0
LAGOA-[R.A.A.],991.0,1092.0,1081.0,1297.0,1025.0,755.0,567.0,608.0,985.0,1168.0,1136.0,1304.0,1095.0,756.0,503.0,360.0
NORDESTE,265.0,303.0,303.0,343.0,333.0,280.0,231.0,396.0,278.0,318.0,303.0,357.0,367.0,325.0,198.0,262.0
PONTA-DELGADA,3740.0,4627.0,5081.0,5894.0,5108.0,4099.0,2871.0,3424.0,3908.0,4823.0,5247.0,5783.0,4908.0,4072.0,2546.0,1804.0
POVOACAO,316.0,425.0,412.0,451.0,445.0,333.0,280.0,370.0,310.0,427.0,394.0,447.0,477.0,360.0,235.0,245.0
RIBEIRA-GRANDE,2486.0,2520.0,2646.0,2775.0,2096.0,1544.0,968.0,1240.0,2549.0,2794.0,2847.0,2862.0,2235.0,1637.0,840.0,773.0
VILA-FRANCA-DO-CAMPO,648.0,825.0,826.0,901.0,767.0,605.0,425.0,558.0,677.0,894.0,868.0,850.0,827.0,635.0,376.0,370.0
ANGRA-DO-HEROISMO,1702.0,2107.0,2374.0,2520.0,2447.0,2274.0,1660.0,2237.0,1760.0,2120.0,2396.0,2632.0,2503.0,2242.0,1507.0,1327.0
VILA-DA-PRAIA-DA-VITORIA,1012.0,1327.0,1537.0,1635.0,1584.0,1441.0,1004.0,1205.0,1120.0,1348.0,1666.0,1578.0,1621.0,1471.0,897.0,871.0
SANTA-CRUZ-DA-GRACIOSA,180.0,225.0,272.0,285.0,293.0,264.0,228.0,377.0,215.0,249.0,264.0,309.0,285.0,298.0,207.0,258.0
CALHETA-[R.A.A.],153.0,161.0,201.0,216.0,217.0,219.0,181.0,253.0,164.0,170.0,219.0,225.0,235.0,205.0,162.0,203.0
VELAS,216.0,270.0,344.0,383.0,361.0,332.0,243.0,406.0,239.0,308.0,335.0,397.0,395.0,326.0,244.0,293.0
LAJES-DO-PICO,180.0,225.0,258.0,316.0,315.0,282.0,287.0,409.0,191.0,233.0,255.0,332.0,351.0,292.0,265.0,300.0
MADALENA,254.0,337.0,386.0,438.0,409.0,368.0,314.0,501.0,269.0,346.0,374.0,472.0,444.0,381.0,257.0,344.0
SAO-ROQUE-DO-PICO,125.0,173.0,204.0,234.0,244.0,225.0,174.0,281.0,159.0,175.0,228.0,229.0,250.0,202.0,165.0,197.0
HORTA,704.0,834.0,938.0,1182.0,1087.0,935.0,781.0,972.0,772.0,834.0,922.0,1203.0,1148.0,926.0,684.0,601.0
LAJES-DAS-FLORES,62.0,75.0,70.0,102.0,100.0,97.0,83.0,115.0,73.0,84.0,95.0,116.0,124.0,104.0,88.0,76.0
SANTA-CRUZ-DAS-FLORES,105.0,107.0,140.0,169.0,153.0,133.0,110.0,177.0,89.0,119.0,143.0,191.0,163.0,159.0,95.0,113.0
CORVO,24.0,15.0,27.0,40.0,24.0,28.0,21.0,27.0,25.0,23.0,27.0,60.0,39.0,35.0,21.0,30.0
CALHETA-[R.A.M.],517.0,573.0,620.0,734.0,809.0,741.0,758.0,1200.0,497.0,631.0,613.0,756.0,764.0,555.0,490.0,609.0
CAMARA-DE-LOBOS,2077.0,2695.0,2490.0,2711.0,2609.0,1879.0,1367.0,1588.0,2273.0,2755.0,2509.0,2830.0,2559.0,1586.0,939.0,810.0
FUNCHAL,4694.0,5758.0,6547.0,8014.0,8878.0,7814.0,6049.0,7860.0,4841.0,5979.0,6638.0,7557.0,7958.0,6796.0,4637.0,4005.0
MACHICO,913.0,1211.0,1228.0,1500.0,1665.0,1411.0,1020.0,1312.0,992.0,1314.0,1343.0,1615.0,1665.0,1338.0,779.0,676.0
PONTA-DO-SOL,466.0,585.0,482.0,670.0,670.0,497.0,501.0,761.0,514.0,583.0,456.0,663.0,618.0,404.0,338.0,384.0
PORTO-MONIZ,84.0,124.0,123.0,130.0,187.0,177.0,187.0,308.0,82.0,117.0,141.0,135.0,156.0,142.0,108.0,142.0
RIBEIRA-BRAVA,689.0,828.0,765.0,989.0,1005.0,751.0,718.0,1060.0,689.0,830.0,717.0,953.0,901.0,641.0,426.0,473.0
SANTA-CRUZ,2817.0,2570.0,3048.0,4746.0,3792.0,2568.0,1656.0,2103.0,2971.0,2699.0,2854.0,4682.0,3815.0,2442.0,1434.0,1085.0
SANTANA,263.0,355.0,359.0,410.0,529.0,479.0,474.0,773.0,265.0,363.0,384.0,411.0,495.0,436.0,296.0,419.0
SAO-VICENTE,191.0,287.0,281.0,292.0,384.0,397.0,350.0,563.0,246.0,288.0,318.0,315.0,350.0,316.0,257.0,306.0
