,Hospitais,Hospitais,Hospitais,MedFarm,MedFarm,Ensino,Ensino,Ensino,Ensino,Ensino,Universidades,Universidades,Universidades,Abstencao,GanhoMes,GanhoMes,GanhoMes,PoderCompra,Hospedes,Hospedes
VILA-NOVA-DE-PAIVA,0,0,0,784.2,1176.3,4,4,1,2,1,0,0,0,62.6,811.6,848.0,776.9,62.7,0,0
VISEU,3,1,2,125.2,789.6,70,56,11,14,6,7,4,3,46.6,987.1,1031.7,930.8,94.4,165833,0
VOUZELA,0,0,0,688.6,1071.1,8,9,2,3,2,0,0,0,43.1,904.5,1019.0,834.8,64.0,4580,0
CASTELO-BRANCO,1,1,0,209.2,713.6,28,22,6,9,5,5,5,0,45.7,957.1,1021.4,889.2,95.8,58304,0
IDANHA-A-NOVA,0,0,0,900.0,1350.0,9,5,1,2,2,1,1,0,49.4,885.2,919.2,844.0,67.6,20697,13249
OLEIROS,0,0,0,1256.0,837.3,4,3,1,1,1,0,0,0,39.1,935.7,1018.8,790.2,63.6,5314,0
PENAMACOR,0,0,0,958.6,958.6,2,2,1,1,1,0,0,0,49.4,907.4,1010.2,826.7,60.6,8620,0
PROENCA-A-NOVA,0,0,0,524.6,1468.8,3,2,1,1,1,0,0,0,40.6,904.4,961.3,819.3,69.0,4293,0
VILA-VELHA-DE-RODAO,0,0,0,525.9,788.9,1,1,1,1,0,0,0,0,38.8,1227.9,1414.6,932.4,71.7,3353,0
ABRANTES,1,1,0,339.0,641.0,20,14,3,5,4,1,1,0,45.8,1084.8,1206.1,939.3,89.2,21037,16750
ALCANENA,1,0,1,675.5,1166.8,13,10,2,2,1,0,0,0,46.5,1063.1,1128.4,975.3,86.1,6475,0
CONSTANCIA,1,1,0,803.2,502.0,3,3,1,1,1,0,0,0,39.2,1239.6,1471.6,912.7,83.1,6744,0
ENTRONCAMENTO,1,0,1,285.1,1018.4,7,5,1,3,2,0,0,0,43.9,1131.0,1295.8,926.5,98.5,0,0
FERREIRA-DO-ZEZERE,0,0,0,1329.0,1993.5,3,2,1,1,1,0,0,0,37.9,909.8,974.4,827.8,67.8,14280,0
MACAO,0,0,0,1259.0,1049.2,3,2,1,1,1,0,0,0,33.2,889.4,1024.4,754.7,68.8,1579,0
OUREM,0,0,0,677.8,957.7,28,25,7,7,5,0,0,0,45.8,1004.6,1128.6,871.3,83.6,656435,0
SARDOAL,0,0,0,374.0,1870.0,2,1,1,1,1,0,0,0,33.1,819.7,832.9,810.4,68.6,573,0
SERTA,0,0,0,812.8,1219.1,10,8,2,2,4,0,0,0,40.6,867.8,928.1,799.4,72.6,30073,22231
TOMAR,1,1,0,323.0,681.9,23,20,3,5,3,2,2,0,45.1,991.0,1090.1,892.1,85.0,77750,56639
TORRES-NOVAS,1,1,0,279.6,743.6,19,11,4,6,3,0,0,0,43.2,1048.4,1113.8,970.8,96.8,15455,13299
VILA-DE-REI,0,0,0,1107.3,664.4,2,1,1,1,1,0,0,0,30.4,820.5,880.8,791.7,66.2,2877,0
VILA-NOVA-DA-BARQUINHA,0,0,0,743.2,1857.9,6,2,1,1,1,0,0,0,42.8,840.2,928.1,767.1,72.3,0,0
ALMEIDA,0,0,0,391.9,1959.3,2,3,2,2,2,0,0,0,53.2,831.0,900.3,780.5,74.2,18212,0
BELMONTE,0,0,0,800.3,1280.5,7,2,1,1,1,0,0,0,52.0,821.6,939.5,748.0,71.3,20649,0
CELORICO-DA-BEIRA,0,0,0,1158.8,1390.6,5,6,1,1,1,0,0,0,53.1,940.7,1147.7,760.1,65.0,15364,0
COVILHA,1,1,0,199.0,572.6,38,29,6,9,5,1,1,0,44.1,943.4,999.1,883.1,86.6,176915,0
FIGUEIRA-DE-CASTELO-RODRIGO,0,0,0,561.8,561.8,5,4,1,1,1,0,0,0,51.3,805.9,838.9,782.1,66.8,8881,0
FORNOS-DE-ALGODRES,0,0,0,303.0,1514.8,4,2,1,1,1,0,0,0,43.0,790.2,834.1,751.0,58.8,14213,0
FUNDAO,1,1,0,436.2,950.3,22,23,4,6,3,0,0,0,47.7,921.2,979.5,851.5,77.9,76824,68582
GOUVEIA,0,0,0,460.6,1036.4,14,8,2,3,2,0,0,0,50.4,864.0,917.3,823.3,65.9,13340,0
GUARDA,2,1,1,137.5,736.5,28,25,5,5,4,3,3,0,43.7,1054.8,1149.2,935.4,96.2,70905,0
MANTEIGAS,0,0,0,431.7,1007.3,2,1,1,1,2,0,0,0,50.4,809.3,821.6,799.1,63.9,24571,14340
MEDA,0,0,0,575.3,2301.0,2,1,1,1,1,0,0,0,53.6,850.8,913.4,799.1,62.1,12968,0
PINHEL,0,0,0,450.5,855.9,4,6,1,1,1,0,0,0,55.4,809.5,844.7,771.2,62.8,2332,0
SABUGAL,0,0,0,820.5,1185.2,7,7,2,2,1,0,0,0,57.9,846.3,910.1,801.7,63.4,13946,0
SEIA,1,1,0,328.3,797.3,19,11,4,5,3,1,1,0,46.5,888.4,968.4,817.0,76.2,40808,0
TRANCOSO,0,0,0,387.4,1272.9,8,5,2,3,2,0,0,0,47.7,904.2,954.2,842.6,66.7,16677,0
ALCOCHETE,0,0,0,322.1,755.6,10,7,2,2,1,0,0,0,40.2,2153.3,3114.0,1025.1,118.8,17672,0
ALMADA,1,1,0,213.7,698.4,94,51,17,22,14,7,2,5,44.8,1117.6,1186.1,1060.3,108.7,230178,0
AMADORA,2,1,1,319.8,650.9,75,46,17,18,9,1,1,0,45.0,1387.8,1495.7,1254.8,100.6,66147,63637
BARREIRO,1,1,0,286.2,697.1,38,25,8,10,7,1,1,0,42.9,1110.2,1218.7,1007.7,100.0,7108,0
CASCAIS,6,1,5,130.9,737.2,110,81,31,27,19,3,2,1,44.2,1183.6,1217.5,1147.7,122.1,589267,346081
LISBOA,34,17,17,52.4,254.7,276,188,88,101,76,62,36,26,39.7,1616.1,1794.7,1434.6,219.6,5980014,4475932
LOURES,2,1,1,308.0,767.2,91,65,16,22,10,0,0,0,41.7,1184.3,1275.2,1048.6,92.3,100427,99939
MAFRA,0,0,0,413.8,1455.4,37,20,7,7,5,0,0,0,41.5,973.5,1008.2,910.7,96.3,104013,46577
MOITA,0,0,0,805.8,1172.1,26,22,6,8,3,0,0,0,48.4,971.2,1030.1,898.6,82.0,0,0
MONTIJO,1,1,0,374.2,665.7,28,22,5,6,3,0,0,0,49.7,1008.7,1117.2,904.8,99.2,116526,69695
ODIVELAS,0,0,0,327.9,1217.3,64,38,10,16,8,1,0,1,44.0,937.8,973.8,892.5,89.3,0,0
OEIRAS,3,2,1,100.0,350.8,80,44,15,16,12,6,4,2,37.1,1791.5,1996.4,1551.9,156.5,174624,0
PALMELA,0,0,0,304.5,1088.8,30,25,7,7,5,0,0,0,47.1,1339.3,1436.0,1111.8,98.1,58253,0
SEIXAL,0,0,0,454.6,1052.2,80,44,10,15,8,0,0,0,45.4,1250.2,1506.9,917.0,89.7,44903,0
SESIMBRA,0,0,0,497.2,1175.2,24,15,5,6,3,0,0,0,48.8,930.2,984.3,869.7,90.0,83621,75210
SETUBAL,4,2,2,193.0,744.8,56,41,10,11,10,4,4,0,48.5,1181.2,1332.2,994.1,107.5,192706,167538
SINTRA,4,0,4,379.3,812.3,179,109,29,36,17,1,1,0,47.5,1183.9,1270.3,1065.4,94.1,410668,187292
VILA-FRANCA-DE-XIRA,1,1,0,553.8,783.3,51,38,11,10,8,0,0,0,42.2,1216.4,1305.7,1080.2,98.4,40554,0
ALCACER-DO-SAL,0,0,0,1062.3,1669.4,6,7,2,2,1,0,0,0,47.7,943.5,1025.6,854.8,81.5,30289,2583
GRANDOLA,0,0,0,695.5,1460.5,10,9,1,3,2,0,0,0,47.0,958.1,1061.8,870.1,85.9,162013,15013
ODEMIRA,0,0,0,881.0,1541.8,21,17,5,6,3,0,0,0,45.7,924.1,938.1,905.5,81.7,131893,13652
SANTIAGO-DO-CACEM,1,1,0,309.2,719.0,21,17,4,4,2,0,0,0,46.1,1023.2,1145.7,916.5,92.3,58781,28763
SINES,0,0,0,341.8,976.6,7,4,1,2,2,0,0,0,52.2,1739.6,1929.6,1232.6,128.7,45234,0
ALJUSTREL,0,0,0,751.5,1377.7,7,5,1,2,1,0,0,0,46.2,1152.0,1273.9,917.5,87.9,8510,0
ALMODOVAR,0,0,0,481.1,2245.2,5,5,1,1,1,0,0,0,47.5,877.4,965.3,818.2,79.5,11433,0
ALVITO,0,0,0,493.9,2469.5,2,1,1,2,1,0,0,0,48.1,1016.8,1102.0,926.4,66.7,4597,0
BARRANCOS,0,0,0,1639.5,1639.5,1,1,1,1,0,0,0,0,50.2,809.9,795.0,827.9,63.4,2196,0
BEJA,1,1,0,170.4,745.9,24,15,4,6,3,4,4,0,46.5,1059.6,1108.9,999.0,105.3,88171,0
CASTRO-VERDE,0,0,0,992.5,1736.9,5,4,1,2,1,0,0,0,45.3,1831.9,2030.5,1228.9,102.1,10622,0
CUBA,0,0,0,574.6,2298.5,4,3,1,2,1,0,0,0,42.8,909.3,983.0,825.7,67.9,1749,0
FERREIRA-DO-ALENTEJO,0,0,0,1120.9,1569.3,7,6,1,1,1,0,0,0,48.9,965.3,1004.5,905.8,73.0,13566,0
MERTOLA,0,0,0,1028.7,3086.0,7,5,1,1,2,0,0,0,44.5,831.6,827.8,835.5,66.6,31729,0
MOURA,0,0,0,508.6,915.6,10,11,2,4,2,0,0,0,57.3,904.2,935.0,867.0,77.5,20715,16767
OURIQUE,0,0,0,771.7,2315.0,5,3,1,1,1,0,0,0,43.5,839.1,840.3,838.0,77.3,6615,0
SERPA,0,0,0,754.7,896.2,7,8,3,4,2,0,0,0,48.7,853.4,887.9,815.6,72.8,10089,0
VIDIGUEIRA,0,0,0,611.6,1100.8,5,4,1,1,1,0,0,0,51.9,936.6,1042.9,839.6,72.8,6343,0
ALMEIRIM,0,0,0,501.3,1253.2,11,9,2,3,1,0,0,0,51.6,930.0,992.0,852.5,86.2,16548,0
ALPIARCA,0,0,0,884.1,1010.4,3,3,1,1,1,0,0,0,43.0,851.8,871.4,819.6,77.1,698,0
AZAMBUJA,0,0,0,1075.3,451.6,11,10,3,4,1,0,0,0,45.6,1018.9,1043.0,981.1,106.2,9043,0
BENAVENTE,0,0,0,707.2,1086.0,14,10,3,4,1,0,0,0,51.1,1109.8,1223.6,950.9,94.4,15010,0
CARTAXO,0,0,0,457.5,881.2,8,10,2,3,1,0,0,0,46.2,1008.0,1101.0,902.6,86.5,5888,0
CHAMUSCA,0,0,0,838.6,768.8,9,5,1,1,1,0,0,0,44.8,948.7,988.0,892.3,71.7,880,0
CORUCHE,0,0,0,531.8,1170.0,11,10,2,4,2,0,0,0,47.4,1001.8,1076.9,904.9,76.8,5273,0
GOLEGA,0,0,0,765.3,1071.4,3,2,1,1,1,0,0,0,46.4,925.0,1034.6,835.5,82.6,8609,0
RIO-MAIOR,0,0,0,598.8,1454.3,9,10,2,3,2,1,1,0,44.4,1014.0,1107.4,895.9,90.2,10668,0
SALVATERRA-DE-MAGOS,0,0,0,644.9,1251.9,9,6,2,3,2,0,0,0,54.8,942.9,1023.6,842.1,77.5,200,0
SANTAREM,2,1,1,166.9,700.1,40,36,6,9,4,5,4,1,43.9,1041.6,1103.5,977.2,101.4,54244,39793
ALTER-DO-CHAO,0,0,0,635.6,1059.3,2,1,1,2,2,0,0,0,42.9,845.0,931.4,791.3,72.9,7543,0
ARRONCHES,0,0,0,568.0,1420.0,3,1,1,1,1,0,0,0,44.4,842.4,843.8,841.5,72.0,7151,0
AVIS,0,0,0,849.6,4248.0,4,4,1,1,0,0,0,0,37.0,914.4,999.2,825.7,74.1,8009,0
CAMPO-MAIOR,0,0,0,146.1,1578.1,3,1,1,1,1,0,0,0,47.6,1235.3,1336.3,1105.4,94.0,4013,0
CASTELO-DE-VIDE,0,0,0,293.5,489.2,3,1,1,1,0,0,0,0,38.8,854.8,905.4,818.6,81.6,24321,20122
CRATO,0,0,0,631.4,1052.3,2,1,1,1,1,0,0,0,40.8,801.1,833.0,783.1,72.8,9141,0
ELVAS,1,1,0,139.3,1288.6,18,12,4,5,1,1,1,0,55.8,885.2,935.8,822.9,89.0,72140,0
FRONTEIRA,0,0,0,596.0,2980.0,3,2,1,1,0,0,0,0,39.4,911.3,1000.4,806.1,79.0,2875,0
GAVIAO,0,0,0,1652.5,826.3,4,2,1,1,0,0,0,0,40.1,821.6,1079.0,699.4,71.8,0,0
MARVAO,0,0,0,432.8,1009.8,2,2,1,1,0,0,0,0,43.8,786.5,848.3,741.1,64.8,25689,0
MONFORTE,1,0,1,497.0,1491.0,4,4,1,1,0,0,0,0,45.4,979.9,1073.0,880.0,73.9,0,0
NISA,0,0,0,763.1,1017.5,3,1,1,1,1,0,0,0,44.6,821.8,913.3,766.0,73.2,12038,0
PONTE-DE-SOR,0,0,0,557.1,1157.2,11,10,2,2,1,0,0,0,48.6,990.9,1133.7,848.0,84.4,37969,0
PORTALEGRE,1,1,0,188.7,767.8,17,10,2,3,3,3,3,0,44.0,1003.0,1090.3,897.7,104.1,25075,16329
SOUSEL,0,0,0,1108.3,738.8,5,4,1,1,1,0,0,0,42.1,854.9,930.8,774.7,69.0,1316,0
ALANDROAL,0,0,0,628.5,1257.0,3,3,1,1,0,0,0,0,45.9,837.7,858.5,819.6,64.5,5853,0
ARRAIOLOS,0,0,0,770.7,1734.0,6,4,1,1,1,0,0,0,38.5,955.0,1064.1,845.3,73.3,12879,0
BORBA,0,0,0,563.6,2254.3,4,2,1,1,0,0,0,0,44.8,931.7,991.6,866.2,73.9,3063,0
ESTREMOZ,0,0,0,364.9,1064.3,10,9,1,2,1,0,0,0,48.4,970.7,1069.1,862.9,93.9,33647,18539
EVORA,2,1,1,108.6,760.0,33,23,5,10,5,5,5,0,45.1,1098.8,1189.5,986.6,117.3,438253,0
MONTEMOR-O-NOVO,1,0,1,603.6,1121.0,11,11,1,2,1,0,0,0,40.9,956.7,1026.7,866.7,86.8,14188,0
MORA,0,0,0,693.8,832.6,5,3,1,1,1,0,0,0,44.1,916.7,1027.4,831.4,82.4,3697,0
MOURAO,0,0,0,1226.5,2453.0,3,3,1,1,0,0,0,0,50.2,853.5,887.9,805.7,69.9,4650,0
PORTEL,0,0,0,835.6,974.8,7,4,1,1,1,0,0,0,44.7,943.2,1026.8,870.6,64.8,4075,0
REDONDO,0,0,0,910.0,1274.0,3,2,1,1,1,0,0,0,50.9,895.8,907.0,877.9,71.9,8548,0
REGUENGOS-DE-MONSARAZ,0,0,0,771.2,1432.2,8,6,1,2,1,0,0,0,53.4,934.7,1002.6,864.8,89.4,37202,0
VENDAS-NOVAS,0,0,0,625.4,1023.4,6,4,2,3,1,0,0,0,46.8,1014.6,1127.4,895.0,95.2,5113,0
VIANA-DO-ALENTEJO,0,0,0,1028.7,1714.5,4,3,2,2,1,0,0,0,47.5,891.0,956.8,815.5,79.3,1851,0
VILA-VICOSA,0,0,0,427.1,640.6,5,4,1,1,1,0,0,0,48.4,1041.2,1120.5,897.4,83.4,25219,0
ALBUFEIRA,1,0,1,439.6,1147.9,18,13,6,8,3,0,0,0,59.3,975.7,1034.8,915.6,112.0,1752240,622390
ALCOUTIM,0,0,0,275.2,1100.8,2,2,1,1,0,0,0,0,43.7,819.3,873.2,782.3,67.5,7447,0
ALJEZUR,0,0,0,430.5,1399.1,3,3,1,1,0,0,0,0,48.5,836.8,868.3,807.3,63.1,44080,0
CASTRO-MARIM,0,0,0,521.3,1563.9,5,3,1,1,0,0,0,0,53.1,850.3,888.0,813.0,71.7,51181,0
FARO,2,1,1,91.0,592.2,32,24,8,10,5,8,8,0,49.5,1138.1,1220.0,1053.8,132.5,308920,0
LAGOA,0,0,0,288.0,1083.6,12,8,4,5,2,0,0,0,52.4,987.0,1041.6,923.8,89.8,421628,182964
LAGOS,1,0,1,289.6,1169.5,15,14,4,6,3,0,0,0,55.1,944.2,985.0,903.3,93.8,383288,169296
LOULE,1,0,1,380.0,1091.8,38,27,8,10,4,0,0,0,57.2,1029.2,1094.4,953.8,105.9,703801,342503
MONCHIQUE,0,0,0,1025.9,1709.8,2,3,1,1,0,0,0,0,37.9,868.8,919.6,826.3,61.9,30958,0
OLHAO,1,1,0,432.1,1534.7,19,15,7,7,2,0,0,0,57.0,913.4,950.5,872.2,81.1,60852,0
PORTIMAO,4,2,2,154.5,840.1,22,13,7,9,5,2,1,1,54.4,1013.3,1083.4,942.8,103.5,613481,292550
SAO-BRAS-DE-ALPORTEL,0,0,0,231.5,946.9,4,5,1,2,1,0,0,0,50.8,933.9,955.5,906.5,84.8,7661,0
SILVES,1,0,1,646.4,1448.0,17,15,5,6,2,1,0,1,52.3,935.7,971.9,889.9,76.9,83980,44058
TAVIRA,0,0,0,357.1,947.7,15,10,2,2,1,0,0,0,51.0,885.8,916.8,855.5,92.0,201005,79948
VILA-DO-BISPO,0,0,0,859.0,2577.0,3,4,2,1,0,0,0,0,53.2,960.2,991.0,926.3,64.6,121223,28418
VILA-REAL-DE-SANTO-ANTONIO,0,0,0,459.0,1568.2,7,5,3,4,2,0,0,0,59.3,912.2,988.7,833.2,91.8,272322,174583
VILA-DO-PORTO,0,0,0,432.3,1873.2,6,5,1,1,1,0,0,0,67.2,1917.0,2323.2,1334.3,89.7,11133,10358
LAGOA-[R.A.A.],0,0,0,490.0,1633.4,10,8,2,2,2,0,0,0,67.7,937.3,954.0,903.1,74.2,15895,0
NORDESTE,0,0,0,608.6,4868.5,6,5,1,1,2,0,0,0,52.7,843.0,821.5,872.7,62.5,1870,0
PONTA-DELGADA,4,1,3,152.9,905.3,39,35,7,7,11,5,5,0,65.3,1147.4,1269.6,1003.9,107.8,383221,317882
POVOACAO,0,0,0,540.0,1980.2,8,7,2,2,2,0,0,0,65.2,895.1,1007.1,788.6,66.3,39958,0
RIBEIRA-GRANDE,0,0,0,584.9,2519.6,22,15,3,3,2,0,0,0,68.7,975.2,1016.9,901.8,71.1,20348,0
VILA-FRANCA-DO-CAMPO,0,0,0,851.1,1229.4,6,4,2,2,2,0,0,0,70.4,826.4,815.8,841.0,65.0,26109,0
ANGRA-DO-HEROISMO,3,1,2,230.3,806.1,28,17,4,4,4,3,3,0,58.3,1006.0,1020.7,989.0,94.7,98358,0
VILA-DA-PRAIA-DA-VITORIA,0,0,0,410.1,2369.3,20,16,2,3,2,0,0,0,65.9,1047.1,1145.3,901.4,74.7,23203,0
SANTA-CRUZ-DA-GRACIOSA,0,0,0,1054.1,4216.5,5,4,1,1,1,0,0,0,53.8,934.2,987.2,865.5,73.1,7193,6661
CALHETA-[R.A.A.],0,0,0,1597.3,798.6,4,2,2,2,1,0,0,0,62.5,864.6,907.4,827.8,77.1,0,0
VELAS,0,0,0,341.0,1705.0,3,4,1,1,2,0,0,0,57.5,960.8,1002.2,911.9,83.1,17626,0
LAJES-DO-PICO,0,0,0,374.5,499.3,4,3,2,1,1,0,0,0,58.4,851.3,899.4,821.4,70.0,7066,0
MADALENA,0,0,0,1471.3,1177.0,5,5,1,1,2,0,0,0,60.8,917.4,952.0,874.9,89.1,26097,0
SAO-ROQUE-DO-PICO,0,0,0,408.1,1088.3,3,2,1,1,1,0,0,0,61.2,1022.0,1098.7,898.1,81.5,7252,0
HORTA,1,1,0,302.7,908.2,12,10,1,1,2,0,0,0,56.2,1090.1,1208.8,966.6,90.7,70347,44371
LAJES-DAS-FLORES,0,0,0,1463.5,0.0,1,1,1,0,0,0,0,0,54.3,963.1,1098.4,850.7,74.8,4903,0
SANTA-CRUZ-DAS-FLORES,0,0,0,541.1,1082.3,3,2,1,1,1,0,0,0,58.0,1082.3,1240.5,858.4,88.4,9196,8309
CORVO,0,0,0,464.5,0.0,1,1,1,1,1,0,0,0,46.3,1444.7,1639.1,1042.1,76.2,0,0
CALHETA-[R.A.M.],0,0,0,1207.3,2173.2,7,6,1,1,1,0,0,0,50.7,1141.9,1249.5,941.9,62.8,75632,43710
CAMARA-DE-LOBOS,0,0,0,674.1,1685.2,17,12,3,3,2,0,0,0,53.7,950.9,983.0,892.5,58.3,27181,0
FUNCHAL,9,3,6,125.7,759.7,52,35,12,13,15,8,6,2,48.8,1136.0,1216.4,1049.4,114.3,941733,587615
MACHICO,0,0,0,513.8,1054.6,7,6,3,3,1,0,0,0,50.7,1040.0,1126.5,919.9,78.2,53361,49918
PONTA-DO-SOL,0,0,0,779.0,2142.1,7,6,1,1,1,0,0,0,53.4,834.5,865.1,793.5,55.2,17138,0
PORTO-MONIZ,0,0,0,335.1,1173.0,1,1,1,1,1,0,0,0,37.9,788.8,894.5,735.7,56.9,27750,24591
RIBEIRA-BRAVA,0,0,0,477.8,1035.3,6,6,2,2,1,0,0,0,51.9,895.3,952.6,834.7,68.4,17313,14941
SANTA-CRUZ,0,0,0,326.2,1667.1,14,9,3,3,1,0,0,0,47.0,1084.3,1147.9,988.8,71.5,165964,102000
SANTANA,0,0,0,1346.1,1346.1,4,4,2,2,1,0,0,0,49.4,862.4,975.5,793.9,58.3,23229,0
SAO-VICENTE,0,0,0,857.8,1286.6,3,2,1,1,1,0,0,0,53.1,854.1,891.7,811.5,61.0,32296,0
