Nível I,Nível II,Nível III,Distrito,Concelhos,Fonética
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,São Pedro do Sul,(pronuncia-se /sɐ̃w ˈpeðɾu ðu ˈsuɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Sátão,(pronuncia-se /ˈsatɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Tondela,(pronuncia-se /tõˈdɛlɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Vila Nova de Paiva,(pronuncia-se /ˈvilɐ ˈnɔvɐ ðɨ ˈpajvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Viseu,(pronuncia-se /viˈzew/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Viseu Dão Lafões,Viseu,Vouzela,(pronuncia-se /vowˈzɛlɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Almeida,(pronuncia-se /ɐɫˈmejdɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Castelo Branco,Belmonte,(pronuncia-se /ˌbɛɫˈmõt(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Celorico da Beira,(pronuncia-se /sɨloˈɾiku ðɐ ˈβɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Castelo Branco,Covilhã,(pronuncia-se /kuviˈʎɐ̃/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Figueira de Castelo Rodrigo,(pronuncia-se /fiˈɣɐjɾɐ ðɨ kɐʃˈtɛlu ʁuˈðɾiɣu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Fornos de Algodres,(pronuncia-se /ˈfɔɾnuʒ ðɨ ɐɫˈɣoðɾɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Castelo Branco,Fundão,(pronuncia-se /fũˈdɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Gouveia,(pronuncia-se /ɡowˈvɐjɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Guarda,(pronuncia-se /ˈɡwaɾdɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Manteigas,(pronuncia-se /mɐ̃ˈtɐjɣɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Mêda,(pronuncia-se /ˈmeðɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Pinhel,(pronuncia-se /piˈɲɛɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Sabugal,(pronuncia-se /sɐβuˈɣaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Seia,(pronuncia-se /ˈsɐjɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beiras e Serra da Estrela,Guarda,Trancoso,(pronuncia-se /tɾɐ̃ˈkozu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Castelo Branco,(pronuncia-se /kɐʃˈtɛlu ˈβɾɐ̃ku/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Idanha-a-Nova,(pronuncia-se /iˈðɐɲa ˈnɔvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Oleiros,(pronuncia-se /oˈlɐjɾuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Penamacor,(pronuncia-se /penɐmɐˈkoɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Proença-a-Nova,(pronuncia-se /pɾuˈẽsa ˈnɔvɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Beira Baixa,Castelo Branco,Vila Velha de Ródão,(pronuncia-se /ˈvilɐ ˈvɛʎɐ ðɨ ˈʁɔðɐ̃w̃/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Alcobaça,(pronuncia-se /ɐɫkuˈβasɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Alenquer,(pronuncia-se /ɐlẽˈkɛɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Arruda dos Vinhos,(pronuncia-se /ɐˈʁuðɐ ðuʒ ˈviɲuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Bombarral,(pronuncia-se /bõbɐˈʁaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Cadaval,(pronuncia-se /kɐðɐˈvaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Caldas da Rainha,(pronuncia-se /ˈkaɫdɐʒ ðɐ ʁɐˈiɲɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Lourinhã,(pronuncia-se /loɾiˈɲɐ̃/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Nazaré,(pronuncia-se /nɐzɐˈɾɛ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Óbidos,(pronuncia-se /ˈɔβiðuʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Leiria,Peniche,(pronuncia-se /pˈniʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Sobral de Monte Agraço,(pronuncia-se /suˈβɾaɫ dɨ ˈmõt(ɨ) ɐˈɣɾasu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Oeste,Lisboa,Torres Vedras,(pronuncia-se /ˈtoʁɨʒ ˈvɛðɾɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Abrantes,(pronuncia-se /ɐˈβɾɐ̃tɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Alcanena,(pronuncia-se /ɐɫkɐˈnenɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Constância,(pronuncia-se /kõʃˈtɐ̃siɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Entroncamento,(pronuncia-se /ẽtɾõkɐˈmẽtu/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Ferreira do Zêzere,(pronuncia-se /fɨˈʁɐjɾɐ ðu ˈzezɨɾ(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Mação [5],(pronuncia-se /mɐˈsɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Ourém,(pronuncia-se /owˈɾɐ̃j/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Sardoal,(pronuncia-se /sɐɾðuˈaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Castelo Branco,Sertã,(pronuncia-se /sɨɾˈtɐ̃/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Tomar,(pronuncia-se /tuˈmaɾ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Torres Novas,(pronuncia-se /ˈtoʁɨʒ ˈnɔvɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Castelo Branco,Vila de Rei,(pronuncia-se /ˈvilɐ ðɨ ˈʁɐj/ (escutar (ajuda·info)))
Portugal Continental,Região do Centro,Médio Tejo,Santarém,Vila Nova da Barquinha,(pronuncia-se /ˈvilɐ ˈnɔvɐ ðɐ βɐɾˈkiɲɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Alcochete,(pronuncia-se /ɐɫkuˈʃet(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Almada,(pronuncia-se /ɐɫˈmaðɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Amadora,(pronuncia-se /ɐmɐˈðoɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Barreiro,(pronuncia-se /bɐˈʁɐjɾu/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Cascais,(pronuncia-se /kɐʃˈkajʃ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Lisboa,(pronuncia-se /ɫiʒˈboɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Loures,(pronuncia-se /ˈlowɾɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Mafra,(pronuncia-se /ˈmafɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Moita,(pronuncia-se /ˈmojtɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Montijo,(pronuncia-se /mõˈtiʒu/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Odivelas,(pronuncia-se /odiˈvɛlɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Oeiras,(pronuncia-se /oˈɐjɾɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Palmela,(pronuncia-se /pɐɫˈmɛlɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Seixal,(pronuncia-se /sɐjˈʃaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Sesimbra,(pronuncia-se /sɨˈzĩbɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Setúbal,Setúbal,(pronuncia-se /sɨˈtubaɫ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Sintra,(pronuncia-se /ˈsĩtɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região de Lisboa,Área Metropolitana de Lisboa,Lisboa,Vila Franca de Xira,(pronuncia-se /ˈvilɐ ˈfɾɐ̃kɐ ðɨ ˈʃiɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Almeirim,(pronuncia-se /ɐɫmɐjˈɾĩ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Alpiarça,(pronuncia-se /ɐɫpiˈaɾsɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Lisboa,Azambuja,(pronuncia-se /ɐzɐ̃ˈbuʒɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Benavente,(pronuncia-se /bɨnɐˈvẽt(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Cartaxo,(pronuncia-se /kɐɾˈtaʃu/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Chamusca,(pronuncia-se /ʃɐˈmuʃkɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Coruche,(pronuncia-se /kuˈɾuʃ(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Golegã,(pronuncia-se /ɡul(ɨ)ˈɣɐ̃/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Rio Maior,(pronuncia-se /ˈʁiu mɐˈjɔɾ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Salvaterra de Magos,(pronuncia-se /ˌsaɫvɐˈtɛʁɐ ðɨ ˈmaɣuʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Lezíria do Tejo,Santarém,Santarém,(pronuncia-se /sɐ̃tɐˈɾɐ̃j/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Litoral,Setúbal,Alcácer do Sal,(pronuncia-se /ɐɫˈkasɛɾ ðu ˈsaɫ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Litoral,Setúbal,Grândola,(pronuncia-se /ˈɡɾɐ̃dulɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Litoral,Beja,Odemira,(pronuncia-se /ɔðɨˈmiɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Litoral,Setúbal,Santiago do Cacém,(pronuncia-se /sɐ̃tiˈaɣu ðu kɐˈsɐ̃j/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Litoral,Setúbal,Sines,(pronuncia-se /ˈsinɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Alter do Chão,(pronuncia-se /ɐɫˈtɛɾ ðu ʃɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Arronches,(pronuncia-se /ɐˈʁõʃɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Avis,(pronuncia-se /ɐˈviʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Campo Maior,(pronuncia-se /ˈkɐ̃pu mɐˈjɔɾ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Castelo de Vide,(pronuncia-se /kɐʃˈtɛlu ðɨ ˈvið(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Crato,(pronuncia-se /ˈkɾatu/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Elvas,(pronuncia-se /ˈɛɫvɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Fronteira,(pronuncia-se /fɾõˈtɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Gavião,(pronuncia-se /ɡɐviˈɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Marvão,(pronuncia-se /mɐɾˈvɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Monforte,(pronuncia-se /mõˈfɔɾt(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Nisa,(pronuncia-se /ˈnizɐ]/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Ponte de Sor,(pronuncia-se /ˈpõt(ɨ) ðɨ ˈsoɾ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Portalegre,(pronuncia-se /puɾtɐˈlɛɣɾ(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alto Alentejo,Portalegre,Sousel[4],(pronuncia-se /sowˈzɛɫ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Alandroal,(pronuncia-se /ɐlɐ̃dɾuˈaɫ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Arraiolos,(pronuncia-se /ɐʁɐˈjɔluʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Borba,(pronuncia-se /ˈbɔɾβɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Estremoz,(pronuncia-se /(ɨ)ʃtɾɨˈmoʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Évora,(pronuncia-se /ˈɛvuɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Montemor-o-Novo,(pronuncia-se /mõtɨˈmɔɾ u ˈnovu/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Mora[4],(pronuncia-se /ˈmɔɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Mourão,(pronuncia-se /mowˈɾɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Portel,(pronuncia-se /puɾˈtɛɫ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Redondo,(pronuncia-se /ʁɨˈðõdu/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Reguengos de Monsaraz,(pronuncia-se /ʁɨˈɣẽɡuʒ ðɨ mõsɐˈɾaʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Vendas Novas,(pronuncia-se /ˈvẽdɐʒ ˈnɔvɐʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Viana do Alentejo,(pronuncia-se /viˈɐnɐ ðu ɐlẽˈtɛʒu/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Alentejo Central,Évora,Vila Viçosa,(pronuncia-se /ˈvilɐ viˈsɔzɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Aljustrel,(pronuncia-se /ɐɫʒuʃˈtɾɛɫ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Almodôvar,(pronuncia-se /aɫmuˈdovaɾ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Alvito,(pronuncia-se /ɐɫˈvitu/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Barrancos,(pronuncia-se /bɐˈʁɐ̃kuʃ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Beja,(pronuncia-se /ˈbɛʒɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Castro Verde,(pronuncia-se /ˈkaʃtɾu ˈveɾd(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Cuba,(pronuncia-se /ˈkuβɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Ferreira do Alentejo,(pronuncia-se /fɨˈʁeɾɐ ðu ɐlẽˈtɛʒu/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Mértola,(pronuncia-se /ˈmɛɾtulɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Moura,(pronuncia-se /ˈmowɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Ourique,(pronuncia-se /owˈɾik(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Serpa,(pronuncia-se /ˈsɛɾpɐ/ (escutar (ajuda·info)))
Portugal Continental,Alentejo,Baixo Alentejo,Beja,Vidigueira,(pronuncia-se /viðiˈɣɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Albufeira,(pronuncia-se /ɐɫβuˈfɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Alcoutim,(pronuncia-se /ɐɫkowˈtĩ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Aljezur,(pronuncia-se /ɐɫʒɨˈzuɾ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Castro Marim,(pronuncia-se /ˈkaʃtɾu mɐˈɾĩ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Faro,(pronuncia-se /ˈfaɾu/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Lagoa,(pronuncia-se /lɐˈɣoɐ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Lagos,(pronuncia-se /ˈlaɣuʃ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Loulé,(pronuncia-se /loˈlɛ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Monchique,(pronuncia-se /mõˈʃik(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Olhão,(pronuncia-se /oˈʎɐ̃w]/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Portimão,(pronuncia-se /puɾtiˈmɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,São Brás de Alportel,(pronuncia-se /sɐ̃w ˈβɾaʃ ðɨ ɐɫpuɾˈtɛɫ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Silves,(pronuncia-se /ˈsiɫvɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Tavira,(pronuncia-se /tɐˈviɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Vila do Bispo,(pronuncia-se /ˈvila ðu ˈβiʃpu/ (escutar (ajuda·info)))
Portugal Continental,Algarve,Algarve,Faro,Vila Real de Santo António,(pronuncia-se /ˈvilɐ ʁiˈaɫ ðɨ ˈsɐ̃tu ɐ̃ˈtɔniu/ (escutar (ajuda·info)))
